ticker,fiscal_year,field_name,error_type,message
BFC,2022,ownership.foreign_own,missing_value,Missing foreign_own
IMP,2021,ownership.managerial_inside_own,missing_value,Missing managerial_inside_own
IMP,2023,ownership.managerial_inside_own,missing_value,Missing managerial_inside_own
PAN,2020,ownership.managerial_inside_own,missing_value,Missing managerial_inside_own
PAN,2020,ownership.institutional_own,missing_value,Missing institutional_own
PAN,2021,ownership.managerial_inside_own,missing_value,Missing managerial_inside_own
PTB,2024,ownership.institutional_own,missing_value,Missing institutional_own
PVT,2022,ownership.institutional_own,missing_value,Missing institutional_own
PVT,2022,ownership.foreign_own,missing_value,Missing foreign_own
PVT,2023,ownership.foreign_own,missing_value,Missing foreign_own
SBT,2020,ownership.managerial_inside_own,missing_value,Missing managerial_inside_own
SBT,2020,ownership.institutional_own,missing_value,Missing institutional_own
SBT,2020,ownership.foreign_own,missing_value,Missing foreign_own
SBT,2021,ownership.managerial_inside_own,missing_value,Missing managerial_inside_own
SBT,2021,ownership.institutional_own,missing_value,Missing institutional_own
SBT,2021,ownership.foreign_own,missing_value,Missing foreign_own
SBT,2022,ownership.managerial_inside_own,missing_value,Missing managerial_inside_own
SBT,2022,ownership.institutional_own,missing_value,Missing institutional_own
SBT,2022,ownership.foreign_own,missing_value,Missing foreign_own
SBT,2023,ownership.managerial_inside_own,missing_value,Missing managerial_inside_own
SBT,2023,ownership.institutional_own,missing_value,Missing institutional_own
SBT,2023,ownership.foreign_own,missing_value,Missing foreign_own
SBT,2024,ownership.managerial_inside_own,missing_value,Missing managerial_inside_own
SBT,2024,ownership.institutional_own,missing_value,Missing institutional_own
SBT,2024,ownership.foreign_own,missing_value,Missing foreign_own
PAN,2023,market.shares_outstanding,missing_value,Missing shares_outstanding
PHR,2020,market.market_value_equity,missing_value,Missing market_value_equity
PHR,2021,market.market_value_equity,missing_value,Missing market_value_equity
PHR,2022,market.market_value_equity,missing_value,Missing market_value_equity
PHR,2023,market.market_value_equity,missing_value,Missing market_value_equity
PHR,2024,market.market_value_equity,missing_value,Missing market_value_equity
PTB,2020,market.market_value_equity,missing_value,Missing market_value_equity
PTB,2021,market.market_value_equity,missing_value,Missing market_value_equity
PTB,2022,market.market_value_equity,missing_value,Missing market_value_equity
PTB,2023,market.market_value_equity,missing_value,Missing market_value_equity
PTB,2024,market.market_value_equity,missing_value,Missing market_value_equity
PVT,2020,market.market_value_equity,missing_value,Missing market_value_equity
PVT,2021,market.market_value_equity,missing_value,Missing market_value_equity
PVT,2022,market.market_value_equity,missing_value,Missing market_value_equity
PVT,2023,market.market_value_equity,missing_value,Missing market_value_equity
PVT,2024,market.market_value_equity,missing_value,Missing market_value_equity
SBT,2020,market.shares_outstanding,missing_value,Missing shares_outstanding
SBT,2020,market.market_value_equity,missing_value,Missing market_value_equity
SBT,2021,market.shares_outstanding,missing_value,Missing shares_outstanding
SBT,2021,market.market_value_equity,missing_value,Missing market_value_equity
SBT,2022,market.shares_outstanding,missing_value,Missing shares_outstanding
SBT,2022,market.market_value_equity,missing_value,Missing market_value_equity
SBT,2023,market.shares_outstanding,missing_value,Missing shares_outstanding
SBT,2023,market.market_value_equity,missing_value,Missing market_value_equity
SBT,2024,market.shares_outstanding,missing_value,Missing shares_outstanding
SBT,2024,market.market_value_equity,missing_value,Missing market_value_equity
IMP,2021,institutional_own,out_of_range,"institutional_own=38.690000 outside [0,1]"
